,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,company_txt,job_state,age,backend_yn,python_yn,java_yn,database_yn,linux_yn,networking_yn,testing_yn,cyber_yn,aws_yn,job_simp,seniority,desc_len
0,"Software Engineer, Database Engine",$106K-$236K (Glassdoor Est.),"Position Overview


The MemSQL database engine team is responsible for building the core database engine behind MemSQL. This includes developing in-memory and on-disk data structures and algorithms, row and columnar stores, networking, query optimization, and execution.

As a senior software engineer on the database engine team, you will have the unique benefit of building systems software in a rapid production environment with a small and collaborative team. This includes overseeing the direction, design and development of key features that can be attributed to just a handful of engineers. In this position, you will be empowered to leverage your technical, leadership, and business acumen while mentoring other engineers who are eager to learn from you.

Role and Responsibilities
Lead innovation for major software components, systems, and features.
Design and develop new systems to enhance database performance with good throughput and low latency.
Ensure data consistency and durability with breakthrough performance and scalability.
Automate and test your own code to improve overall software quality.
Manage individual project priorities, deadlines and deliverables.
Mentor and train other team members on design techniques, and coding standards.
Actively participate in customer POCs to optimize customer experience and adoption.
Work collaboratively with multiple departments such as Sales, Marketing, and G&A.
Required Skills and Experience
At least two years of experience developing and debugging in system level C/C++, particularly on Linux
At least one year of experience with file systems, concurrency, multithreading, and server architectures
Experience working on database internals or multi-threaded server internals
Passionate about building highly reliable system software
B.S. degree or equivalent experience in Computer Science or a similar field
MemSQL is The Database of Now, powering modern applications and analytical systems with a cloud-native, massively scalable architecture. MemSQL delivers maximum ingest, accelerated transaction processing and blisteringly fast query performance, including AI integration and machine learning models, all at the highest concurrency. Global enterprises use the MemSQL distributed database to easily ingest, process, analyze and act on data, to thrive in today's insight-driven economy. MemSQL is optimized to run on any public cloud or on-premises with commodity hardware.

Headquartered in San Francisco, CA with offices globally, MemSQL has raised nearly $100M from top investors including GV, Accel Partners and Khosla Ventures, among others. MemSQL is trusted by customers including Uber, Akamai, Dell EMC, Samsung, Comcast, Kellogg, and more.

Consistent with our commitment to diversity & inclusion, we value individuals with the ability to work on diverse teams and with a diverse range of people.

To all recruitment agencies: MemSQL does not accept agency resumes. Please do not forward resumes to MemSQL employees. MemSQL is not responsible for any fees related to unsolicited resumes and will not pay fees to any third-party agency or company that does not have a signed agreement with the Company.",4.6,"MemSQL
4.6","San Francisco, CA",201 to 500 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,106,236,171.0,MemSQL,CA,9,0,0,0,1,1,1,1,0,0,software engineer,na,3183
1,Software Development Engineer - Distributed Database Engine,$106K-$236K (Glassdoor Est.),"Join our team and experience Workday!

It's fun to work in a company where people truly believe in what they're doing. At Workday, we're committed to bringing passion and customer focus to the business of enterprise applications. We work hard, and we're serious about what we do. But we like to have a good time, too. In fact, we run our company with that principle in mind every day: One of our core values is fun.

Job Description

Join our team and experience Workday!

At Workday, we're committed to bringing passion and customer focus to the business of enterprise applications. We are laser focused on building the next great data analytics technologies. If you join us, you can expect to work with talented, driven, creative and results-oriented co-workers who also bring joy and balance to their work in a fast paced environment. We have assembled a uniquely diverse engineering team with experience ranging from academic and industrial research to building and delivering cutting-edge software. We are building desktop-class web applications that operate at the intersection of distributed systems, high-performance analytics, HCI and computer graphics. It's fun to work in a company where people truly believe in what they're doing.

The Role

As part of Workday’s Analytics team, you will be responsible for building, enhancing and extending our large scale distributed data processing engines in the cloud. You will work with a top-notch team to architect and build features in our distributed SQL ingestion, query and transaction processing engines. You will be responsible for developing algorithms and techniques for supporting fast, efficient queries and transactions in a multi-tenanted cloud environment over large scale semi-structured and structured data.

About You

You are an engineer who is passionate about data management and distributed data processing frameworks and algorithms. Performance, scalability and reliability of these algorithms are not an afterthought for you. You take pride in building algorithms that are not only scalable and efficient but also require no tuning. You think and code in terms of well defined abstractions, relational algebra and operators. You take pride in building high performance infrastructure and platforms that are capable of processing large volumes of data while ensuring simplicity. You enjoy coming up with novel solutions and can clearly articulate the value to the stakeholders. You also excel in the ability to juggle priorities and make the right tradeoffs in feature content and timely delivery of features while ensuring customer success.

You can make all of this happen using Scala, Java, Spark and related Hadoop technologies.

Required Skills
Industry experience building and delivering high-performance data processing engines.
Excellent coding skills, Java, Scala, and Linux expertise
Expertise in distributed systems
Background in database internals, query processing, and distributed systems
Good grasp of SQL and distributed data processing engines
You have a BS in Computer Science with 5 years of experience, MS in Computer Science with 2 years of experience or a PhD in relevant area.
Tags: Java, Scala, Spark, Hadoop, Cloud, Database Internals, Distributed Systems, Query Engine, Database Engine, Data Integration Platforms",4.0,"Workday
4.0","Pleasanton, CA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),106,236,171.0,Workday,CA,15,0,0,1,1,1,0,0,0,0,software engineer,na,3313
2,Software Engineer I,$106K-$236K (Glassdoor Est.),"Software Engineer

Envision is seeking a Junior Software Engineer junior for our longer term project with contract to hire potential in Chandler, AZ or work can be performed in Leesburg, VA. Below is a brief outline of what we are seeking on this project.

No C2C allowed on this project

Summary

This junior Software Engineer will work on development of our nation’s next generation of satellite and space flight ground systems. We seek skilled and motivated software developers who want to take their skills to the next level through hands-on development on a diverse multi-disciplined team of engineers, operating in an agile environment, using the latest tools and methodologies for multiple long-term satellite ground system projects.

Required Qualifications
1-2 years of experience in software development using Java and/or JavaScript
Bachelor of Science Degree in Computer Science, Software Engineering, System Engineering, Computer Engineering, or similar advanced technical education from an accredited college - ABET accreditation preferred
Due to ITAR restrictions, U.S. citizenship is required.
Preferred Java Developer Qualifications
Experience in software development using Java 8
Experience building REST based services and/or applications that communicate with REST services
Experience using Maven for build and dependency management for Java applications
Experience building unit tests using Junit with a high level of code coverage
Experience using MongoDB and PostgreSQL database engines for data persistence
Preferred Qualifications

Although the following skills are not required, it is highly desirable for the candidate to have some level of experience in the following skills:
Software development experience in a collaborative team environment using agile principles and a structured development process including code reviews and automated DevOps processes.
Experience working with Unix/Linux distributions using command line terminals and GUI based desktop environments.
Experience using team collaboration tools including Git, JIRA Agile, and Confluence
Experience automating software builds, unit tests, integration tests, deployment, and installations using a DevOps tool chain (Jenkins, Nexus, Artifactory, etc)
Experience using SonarQube and/or Coverity to instrument, trend and manage code quality
Experience developing containerized microservices deployed into a cloud based orchestration framework such as AWS, Docker Swarm, or OpenShift.
As a team member, you will be actively performing and growing the following skills:
Assisting with the documentation and maintenance of architectures, requirements, algorithms, interfaces and designs for software systems.
Developing and maintaining code and integrates software components into a fully functional software system.
Assisting with test procedures and documenting test results to ensure software system requirements are met.
Gathering information to support software project management.
Documenting deployed processes and tools and collect metrics.
Supporting software research and development projects.
Troubleshooting basic software issues.",4.5,"Envision LLC
4.5","Mesa, AZ",201 to 500 Employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),106,236,171.0,Envision LLC,AZ,26,0,0,1,1,1,0,1,0,1,software engineer,na,3131
3,Entry-Level Software Developer (VDF),$106K-$236K (Glassdoor Est.),"HCSS, an innovative construction software company based in Sugar Land (southwest Houston), TX and recognized as one of the ""Best Companies to Work for in Texas"" 13 years in a row is looking for a Entry-level Software Developer as we scale for rapid growth.

What's unique about this role is that we'll PAY and TEACH you to become a Software Developer, building software products for the construction industry.

A strong propensity for programming is required. A HUGE plus if you've been working on a ton of side coding projects and have the ability to think algorithmically. An ideal candidate must have already graduated from an accredited degree program/school with a Bachelor's degree (not necessarily related to Computer Science, Computer Engineering, etc.).

During your first three months as an Entry-Level Software Developer, you'll go through a 3-month rigorous training program learning VDF/DataFlex programming and completing assignments to demonstrate a command of languages, libraries and other programming tools. You must be able to learn quickly and take the initiative to utilize resources outside of what is provided in order to succeed. We keep our class sizes small so you have more 1:1 attention with the instructor.

After successfully completing the training, you'll join a development team to work on our industry-leading products.

What are you waiting for? It's time to take charge of your career and make your impact. The sky's the limit on what you can achieve!

*NOTE:

Part of our recruitment process includes a math/logic test. HCSS will send you an email within the week after you apply with the test link. In case this is not in your inbox, please also check your spam/junk mail folder. If this is a re-application for the same position, please utilize the test link that was sent to you in your original application.

Our hiring process can be found here. If you have any questions or encounter issues with the test, please reach out to us at recruiting@hcss.com.

We have a carefully selected group of agency partnerships that we're not looking to expand at this time. Any unsolicited resumes will be deemed the property of HCSS.

This is NOT a contract position, and at this time we are NOT sponsoring H1-B Visas. During COVID-19, you can work remotely.*",4.2,"HCSS
4.2","Houston, TX",201 to 500 Employees,1986,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),106,236,171.0,HCSS,TX,34,0,0,0,0,0,0,1,0,0,software engineer,entry,2288
4,Software Developer,$106K-$236K (Glassdoor Est.),"Named an AJC Top Workplace in 2020, AnswerRocket is the leader in AI-powered analytics disrupting the traditional BI and analytics market. Our self-service analytics platform combines machine learning with natural language generation to enable business leaders to make better, faster decisions. As a Software Developer working on the engineering team, you’ll play a major role in designing, developing, deploying and supporting AnswerRocket's web development technologies.
Developers are at the heart of our team. We want smart and flexible thinkers for whom programming is second nature. If you are that kind of person, you know that software is an expressive discipline. We encourage responsible creativity along with personal commitment to our customers. We look for engineers to be versatile, display leadership qualities and are enthusiastic to take on new problems as we continue to push technology forward.
In this role, you’ll get to:
Design and code within our tech stack which includes: JavaScript (React/Redux), Python (web server), and Java (data server)
Deploy in Amazon’s cloud or at client premises
Work heavily in web and database environments but also touch on mobile, systems management, configuration management, tenancy, parallelization, security, and other aspects of serving enterprise customers
Be involved in decision making around the architecture and future product enhancements
Further increase your experience working in new frameworks while solving complex problems in a collaborative and casual environment
We are looking for people who:
Have 1+ years of professional experience in software development or similar role
Have a Bachelor's Degree in Computer Science or Engineering preferred
Are passionate for UX, database scalability, mobile development, and making software great
Possess a love of design almost as much as implementing modules and fixing broken things
Can meet a deadline but also know when and how to explain a delay
Are comfortable working in our git development model which uses fast iterations to deliver software in cycles
Are located in the Atlanta (or willing to relocate) and are able to work full-time, onsite with our team
Bonus points if you have:
3-5+ years in software development or similar role
Hands on experience with our tech stack
Experience at a software or analytics company
Enthusiasm for learning new technology, but the restraint to only use when appropriate
Benefits and perks:
Competitive salary with top-notch health, dental and vision coverage
401K, Health Savings and Flexible Spending Accounts
Generous PTO plus standard national holidays
Paid parental leave
Flexible working arrangements
Weekly catered lunches
Fully stocked kitchen
Commuter perks and an office with MARTA access
Complimentary onsite gym
Casual dress (always)
Team outings and company events to build community
Self-funded, stable startup with an approachable leadership team
Our People (or “Rocketeers” as we say) are the best part about working at AnswerRocket!
Who we are
AnswerRocket is the AI-powered analyst for impact makers. We’re disrupting the traditional BI and analytics market with AI that achieves powerful business outcomes. AnswerRocket’s leading self-service analytics platform combines machine learning with natural language generation to enable business leaders to make better, faster decisions.
We’re a company that’s out to make history. Founded by successful tech entrepreneurs in 2013, AnswerRocket is growing at a stellar pace in every measure - revenues, people, innovation and customers. Named a Cool Vendor in analytics by Gartner, AnswerRocket is changing the way enterprises make decisions every day.
Located in Atlanta, Georgia, AnswerRocket is proud to regularly be recognized for product and company culture achievements. Our team consists of a group of very talented, smart and passionate people with broad interests and backgrounds. We’re looking for go-getters, idea-chasers and it-can-be-doners. We’ve worked hard to foster an intensely collaborative and creative environment, a diverse and inclusive employee culture, and training and opportunity for professional growth. Our people are everything.

Come As You Are
We aim to build an inclusive workforce. If you’re passionate about this role, but do not meet 100% of the qualifications listed above, we still encourage you to apply. We are an equal opportunity employer and celebrate diversity. We do not discriminate on the basis of age, ancestry, citizenship, color, ethnicity, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or invisible disability status, political affiliation, veteran status, race, religion, or sexual orientation. If you need an accommodation in order to apply for open job opportunities, please submit a description of your accommodation request to accommodations@answerrocket.com. This email is only for accommodation requests related to the application process.
COVID-19 Statement: AnswerRocket is continuing to hire with all interviewing and onboarding done virtually due to COVID-19. Everyone new to the team, along with our current staff, will temporarily work from home until it is safe to return to our office.
Posting Statement: If you are a recruiter or placement agency, please do not submit unsolicited resumes to our team unless we have a prior agreement. AnswerRocket is not liable for and will not pay for any placement fees associated with unsolicited resumes. Thank you.",4.4,"AnswerRocket
4.4","Atlanta, GA",51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,106,236,171.0,AnswerRocket,GA,7,0,1,1,1,0,0,0,0,0,software engineer,na,5539
5,Software Developer,$106K-$236K (Glassdoor Est.),"We're looking for a Software Developer to join our team! If the description below describes you, and you're passionate about software development, teamwork and continuous learning, then consider applying for this position! We are looking for both local candidates and also remote candidates.

What You'll Do:

The Software Developer will:
Work within a cross-functional project team to develop Interactive Response Technology (IRT) for randomization and drug supply management
Review user requirements specifications, verifying that all requirements can be implemented with the Suvoda software in the required timeframe
Assist with the creation of implementation design and technical design documentation
Develop software systems that are reliable, maintainable, and efficient, with emphasis on patient safety and integrity of clinical study data
Manage the deployment of Suvoda IRT systems into all environments, completing all required documentation
Assist the support team with troubleshooting and resolution of issues reported on production systems
Participate in the product research and development process by providing the engineering team with new solutions and ideas based on project experience
Generate ideas for innovative technological solutions to increase the quality of Suvoda systems
Perform other related duties as required
Who You Are:

You have:
A Bachelor's degree
Prior working experience with C#, .NET, and SQL Server (3-5 years desired)
Familiarity with Web-Services, Enterprise Service Bus, Model View Controller (MVC) and Entity
Experience with Framework (EF), LINQ a plus
A high achieving personality
Desire to learn and grow
Strong work ethic
Sense of ownership
A proactive attitude
Time management and organizational skills
Attention to detail
Who We Are:

Suvoda is a group of exceptionally bright, passionate and curious employees working together to solve complex challenges for our clients using our best-of-breed IRT system. It's really as simple as that. We are the trusted technology partner that enables health sciences organizations (like pharma companies and biotech firms) to execute their clinical trials while remaining focused on what's most important, their patients. Headquartered in the greater Philadelphia area, with offices in Bucharest, Barcelona and Portland, OR, we've experienced impressive year-over-year growth and are growing our teams across the globe. Learn more about us on our website!

What You'll Get:

In addition to working with a group of super-smart colleagues who work as hard as they play, you'll get:
Competitive Compensation
Medical, Dental and Vision coverage (on your first day!)
401(k) with company match
30+ days of PTO (plus sick time and professional flexibility)
Paid parental leave
Training and professional development
Company-sponsored events",3.6,"Suvoda
3.6","Portland, OR",201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,106,236,171.0,Suvoda,OR,8,0,0,0,0,0,0,0,0,0,software engineer,na,2821
6,Software Engineer,$106K-$236K (Glassdoor Est.),"Who is Interactions?


Interactions, LLC is the worlds largest independent AI company. We operate at the intersection of customer experience and AI two of todays most innovative and dynamic industries. Since 2004, weve helped leading companies like MetLife, Citi, Shutterfly, and LifeLock have millions of successful conversations, resulting in saving operational cost and increasing productivity.

Interactions 5-year vision is to accelerate a transition from todays frustrating and uninspired customer service experiences into amazing conversational engagements! Allowing customers to communicate in their own words and on their channel of choice, to accomplish tasks, all without having to go through an agent. In doing this via our conversational AI engine, our customers benefit from dramatically improved customer experience and increased customer engagement, while also saving significant and demonstrable operational expenses.

Job Description


As a member of one of our Technology teams, you will contribute to building solutions that use natural language processing, cognitive computing, and artificial intelligence applications or the frameworks and infrastructure that support them.

The Software Engineer plays a key role in designing and implementing components and features of the Core platform. The Software Engineer works in close collaboration with QA, DevOps, Product Owners, Professional Services, and in some cases third party software vendors.

Position Overview:

Development and continuous improvement of the spoken conversation processing platform

Essential Job Functions*:
Software product development in an agile framework; apply skills in Python, C++, and Linux to product development, and to prototyping new features and technologies.
Customer technical support.
Identifying, specifying and/or prototyping new functionality, and generally devising innovative solutions to customer problems, through collaboration - with team members, with other Interactions R&D personnel, with Interactions product management, and with customers.
Learn and use new tools and technologies.
Support QA by contributing to test suites (regression, load, performance, etc.), and contributing to automated test frameworks.
Preparation, Knowledge, Skills and Abilities:

Required:
B.S. or equivalent, in Computer Science, Electrical Engineering or a related field.
A minimum of 2 years work experience in software development.
Strong development background in Python and C++ in a linux environment.
Experience with one or more of the following: real-time systems, event-driven systems, VoIP protocols (SIP, RTP), audio processing, data engineering.
Proactive, independent problem solver; addresses complex challenges with both focus and curiosity.
Pluses:
Experience with any of the following is a plus: machine learning, natural language processing, speech recognition .
Ability to demonstrate Interactions Values of:

Being passionate about customer service

Obsessing with our customers success

Respecting each other

Creating opportunity

Embracing disruption

Doing what we say we will do

Working Conditions/Physical Demands:
Up to 10% travel may be required.
General office environment. The working environment is generally favorable. Lighting and temperature are adequate, and there are no hazardous or unpleasant conditions caused by noise, dust, etc. Work is generally performed within the office environment, with standard office equipment available.
While performing the duties of this job, the employee is required to sit or stand for long periods, use hands and fingers for typing and to handle computer controls. Heavy phone and computer usage is required for this position.
Why Work at Interactions?


We've created a culture of people who are dedicated to helping each other and the company succeed. We take time to celebrate wins and recognize accomplishments. Whether its a seasonal event or friendly competition, were always thinking of new ways to have fun.

Our team's health and well-being is important to us. In addition to a full suite of benefits, we offer 5 weeks of time off with pay, 401k matching, paid parental leave and flexible work schedules. We are all committed to the companys success by being valued shareowners and are incentivized through individual performance and company results. Come join us!

Interactions is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex (including pregnancy, sexual orientation, and gender identity), national origin, marital status, age, disability or protected veteran status, or any other characteristic protected by law.",3.4,"Interactions
3.4",Remote,501 to 1000 Employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),106,236,171.0,Interactions,Remote,16,0,1,0,0,1,0,1,0,0,software engineer,na,4649
7,Software Engineer - Backend,$106K-$236K (Glassdoor Est.),"The Opportunity


Simply stated, Livongo exists to empower people with chronic conditions to live better and healthier lives. This is your chance to help to build and scale Livongo's product platform during a time of tremendous growth and product expansion.

What makes a Software Engineer at Livongo different?
You'll put your talents and ingenuity to use as you build key features that power Livongo's clinical programs and devices
Take ownership of our cloud APIs and services that connect biometric and clinical data across multiple health platforms, allow doctors and coaches to provide patient care via seamless access to Livongo, and deliver data-science powered care and advice to users
Support the full product lifecycle of features used by both end users and internal stakeholders such as Data Science, Clinical, and Operations teams
Contribute reusable design and code to Livongo's common microservices infrastructure (gRPC, Kafka, Kubernetes)
Harness frameworks such as Scala, Play, gRPC, OAuth, Spark, FHIR, Kafka, MySQL, ElasticSearch, Flyway, Kubernetes
Candidate Profile
BS degree in Engineering, Computer Science or a related field. In lieu of degree, relevant work experience and/or trade school is acceptable
2+ year's experience in software engineering in a functional or object-oriented language (Java, Scala or Python)
Experience implementing REST APIs and event-driven architecture
Solid grasp of engineering principles, test-driven development, and CI/CD process
Passion, collaboration, and productivity in a dynamic cross-functional team environment
Strong written and verbal skills, including the ability to communicate succinctly, effectively explaining technical concepts to non-technical personnel
Adaptability in changing work environments, managing new priorities, new instructions, delays, or unexpected events
The nature of work is interdisciplinary, and our teammates come from varying backgrounds e.g. (Site Reliability Engineer (SRE), Systems Engineer, Software Engineer, DevOps Engineer, Infrastructure Engineer, Production Engineer). We urge you to apply even if you feel uncertain that you have the exact background.

People and culture are Livongo's greatest assets! It reflects our values and the world we live in. One of diversity and inclusion where everyone's voice is of equal importance.

Our Benefits Include
Competitive compensation packages
Comprehensive medical, dental, vision and 401K
Generous PTO policy
10 paid holidays each year
Lunch provided Monday through Thursday (in office)
An endless variety of healthy snacks and beverages to fuel your creativity
Employee Stock Purchase Plan
Employee Referral Bonus Program
Team events and social gatherings
Pet-friendly environment in Mountain View, CA and Denver
Diabetes Care Prescription Reimbursement
Discount/Subsidy program for gym membership
Provide the full line of Livongo programs and services to all employees and their families
The Opportunity


The Transformative Name in Healthcare: The transformative industry forces in Community, Content and Commerce are now household names. As Amazon is to Commerce, Livongo is to Healthcare. With our Applied Health Signals engine, AI+AI, we've transformed how care is delivered.

Our Work Truly Matters: Livongo's proprietary, consumer-first technology is revolutionizing the experience of living with a chronic health condition. Our data-driven digital health engine enables our Members to seamlessly manage multiple health conditions on one empowering platform. We use smart, connected devices, personalized digital guidance, and 24x7x365 access to health professionals to make it easier for people to stay healthier.

Make an Impact: Do you want to accomplish something meaningful? To create results that matter? Livongo's innovative solution produces industry-leading member satisfaction, measurable clinical outcomes and proven healthcare costs savings. Here you can truly improve lives.

The Largest Digital Health IPO in History: We are at a milestone period in our history. On July 25, 2019 we took our company public, in order to elevate and expand the way the industry views us, thus ushering us into a whole new set of mission-critical conversations that will help us accomplish the work still to be done. As we reach new levels of achievement, we accelerate our ability to deliver life-changing services.

Focus on PEOPLE: Livongo has been voted one of the Best Places to Work in healthcare, by Fortune Magazine and Best Place to Work! Talented, passionate individuals make the difference, in this fast-moving, collaborative and inspiring environment.

Diversity and Inclusion: At Livongo we believe that personal and professional diversity is the key to innovation. We hire based solely on your strengths and qualifications, and the way in which those strengths can directly contribute to your success in your new position.

Growth and Innovation: We've already made healthcare history, yet we remain on the threshold of very big things. Leading the industry with our Applied Health Signals category, we have cracked the code to transforming healthcare. Come grow with us and support our mission to make a tangible difference in the lives of our Members.

See photos, watch videos and learn more about Livongo: follow us on Glassdoor.

#LivongoIPO #appliedhealthsignals

As an Equal Opportunity Employer, we never have and never will discriminate against any job candidate or employee due to age, race, religion, color, ethnicity, national origin, gender, gender identity/expression, sexual orientation, membership in an employee organization, medical condition, family history, genetic information, veteran status, marital status, parental status or pregnancy (including breastfeeding we have a mother's room in both our offices). In our innovative and inclusive workplace, we prohibit discrimination and harassment of any kind.",4.7,"Livongo
4.7","Mountain View, CA",501 to 1000 Employees,2014,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,106,236,171.0,Livongo,CA,6,0,1,1,0,0,0,1,0,0,software engineer,na,5893
8,Software Engineer (Engine - New York),$106K-$236K (Glassdoor Est.),"As a Software Engineer of Inpher’s Engine team, you are part of a small, nimble, and highly collaborative team dedicated to building a state-of-the-art, distributed platform for privacy-preserving computation
You bring expertise in one or more domains
You obsess about software quality
You adhere to the best software engineering practices and establish ownership of key areas of design and implementation
What You Will Do
Find innovative solutions to design and implementation challenges
Implement high-quality code, unit, and integration tests
Perform feasibility studies to evaluate new technology
Contribute clean, efficient, maintainable code
Actively participate in code reviews
Mitigate defect through pre/post-condition specs, testing, and static and dynamic analysis
Document design, code, benchmarks, PoCs, etc.
Requirements
BS in Computer Science or related field; MS or PhD in related field preferred
5+ years of software development experience
Expert in C++ and C; experience with other OO programming languages preferred
Experience with numerical/scientific programming
Strong knowledge of Linear Algebra preferred
Proven track record of shipping production-quality code
Intimate knowledge of CS fundamentals; algorithms/data structures and their complexity
Excellent communication, organizational, and problem solving skills
Location

There is currently one opening for this role. Candidates interested in joining our New York office must have authorization to work in the United States. Our office is located in the Flatiron/NoMad districts at 36 W 25th St, Ste 300, New York, NY 10010 near the R, W, F, M, and 6 subway stops and is a 10 minute walk to Penn Station.",-1.0,Inpher,"New York, NY",Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),106,236,171.0,Inpher,NY,-1,0,0,0,0,0,0,1,0,0,software engineer,na,1682
9,.NET Developer,$106K-$236K (Glassdoor Est.),"Job Description

The ideal candidate should have experience working in an Agile scrum environment and interacting/coordinating with all members of the team (Product, QA, Implementations) to deliver high quality and efficient solutions.
The candidate will be a primary contributor in designing, coding, testing, debugging, documenting and supporting all types of applications consistent with established specifications and business requirements to deliver business value.
Daily activities will include analysis, coding, design, unit testing, and collaboration with QA on testing. Interaction with the team is highly collaborative and cooperative.

Primary Responsibilities:
• Analyze and provide solutions for complex tasks and projects, providing design documentation as required
• Work with team lead and product owner to understand business requirements
• Actively collaborate with team members, QA, and product owners in an Agile Scrum environment on projects to deliver high quality and efficient solution
• Ensure the best possible performance, quality, and responsiveness of applications
• Identify bottlenecks and bugs, and devise solutions to mitigate and address these issues
• Help maintain code quality, organization, and automatization
• Provide accurate and timely estimates for project tasks
• Exhibit solid organizational skills and focus on accuracy and attention to detail
• Exhibit excellent analytical, problem-solving and troubleshooting abilities
• Be self-motivated with the ability to work both independently and in a team environment
• Conduct code review to ensure the work delivered by the team is of high-quality standards

Job Requirements

To be considered for this job, candidates required to have the following skills and experience:
• Bachelor degree or above; degrees in Computer Science preferred; can be substituted with relevant experience
• Strong knowledge of .NET Framework & object-oriented programming
• Proficiency in C#, Visual Studio, and Visual Code
• Strong understanding of Web API
• An understanding of the MVC design pattern
• Proficiency with Microsoft-stack technologies such as .NET Core, ASP.NET MVC and C#
• Understanding of fundamental design principles for building a scalable application
• Experience and success working in an Agile Scrum environment
• Excellent communication skills are a must",4.0,"Rencata
4.0","Irvine, CA",51 to 200 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),106,236,171.0,Rencata,CA,-1,0,0,0,0,0,0,1,0,0,software engineer,na,2351
